Buy:    price = 341.84 ||  money = 165.57
*******************************************************
Sold:   price = 343.28 ||  money = 165.92
Buy:    price = 336.81 ||  money = 165.92
*******************************************************
Sold:   price = 337.15 ||  money = 166.00
Buy:    price = 336.76 ||  money = 166.00
*******************************************************
Sold:   price = 337.95 ||  money = 166.30
Buy:    price = 334.69 ||  money = 166.30
*******************************************************
Sold:   price = 335.17 ||  money = 166.42
Buy:    price = 335.09 ||  money = 166.42
*******************************************************
Sold:   price = 338.76 ||  money = 167.33
Buy:    price = 336.89 ||  money = 167.33
*******************************************************
Sold:   price = 338.52 ||  money = 167.73
Buy:    price = 336.44 ||  money = 167.73
*******************************************************
Sold:   price = 338.60 ||  money = 168.27
Buy:    price = 335.19 ||  money = 168.27
*******************************************************
Sold:   price = 336.12 ||  money = 168.50
Buy:    price = 335.31 ||  money = 168.50
*******************************************************
Sold:   price = 336.28 ||  money = 168.75
Buy:    price = 336.10 ||  money = 168.75
*******************************************************
Sold:   price = 340.34 ||  money = 169.81
Buy:    price = 338.40 ||  money = 169.81
*******************************************************
Sold:   price = 339.25 ||  money = 170.02
Buy:    price = 336.26 ||  money = 170.02
*******************************************************
Sold:   price = 338.84 ||  money = 170.68
Buy:    price = 338.44 ||  money = 170.68
*******************************************************
Sold:   price = 339.41 ||  money = 170.92
Buy:    price = 336.62 ||  money = 170.92
*******************************************************
Sold:   price = 337.48 ||  money = 171.14
Buy:    price = 335.34 ||  money = 171.14
*******************************************************
Sold:   price = 335.77 ||  money = 171.25
Buy:    price = 334.31 ||  money = 171.25
*******************************************************
Sold:   price = 336.49 ||  money = 171.81
Buy:    price = 335.44 ||  money = 171.81
*******************************************************
Sold:   price = 339.18 ||  money = 172.77
Buy:    price = 335.62 ||  money = 172.77
*******************************************************
Sold:   price = 336.93 ||  money = 173.10
Buy:    price = 335.68 ||  money = 173.10
*******************************************************
Sold:   price = 349.65 ||  money = 176.70
Buy:    price = 346.53 ||  money = 176.70
*******************************************************
Sold:   price = 347.91 ||  money = 177.06
Buy:    price = 347.00 ||  money = 177.06
*******************************************************
Sold:   price = 350.42 ||  money = 177.93
Buy:    price = 344.50 ||  money = 177.93
*******************************************************
Sold:   price = 345.80 ||  money = 178.27
Buy:    price = 345.58 ||  money = 178.27
*******************************************************
Sold:   price = 345.63 ||  money = 178.28
Buy:    price = 343.88 ||  money = 178.28
*******************************************************
Sold:   price = 345.83 ||  money = 178.78
Buy:    price = 345.47 ||  money = 178.78
*******************************************************
Sold:   price = 347.21 ||  money = 179.23
Buy:    price = 346.79 ||  money = 179.23
*******************************************************
Sold:   price = 347.46 ||  money = 179.41
Buy:    price = 346.34 ||  money = 179.41
*******************************************************
Sold:   price = 347.04 ||  money = 179.59
Buy:    price = 343.60 ||  money = 179.59
*******************************************************
Sold:   price = 344.27 ||  money = 179.76
Buy:    price = 343.28 ||  money = 179.76
*******************************************************
Sold:   price = 345.18 ||  money = 180.26
Buy:    price = 343.63 ||  money = 180.26
*******************************************************
Sold:   price = 346.42 ||  money = 180.99
Buy:    price = 345.29 ||  money = 180.99
*******************************************************
Sold:   price = 345.44 ||  money = 181.03
Buy:    price = 343.79 ||  money = 181.03
*******************************************************
Sold:   price = 344.27 ||  money = 181.16
Buy:    price = 343.85 ||  money = 181.16
*******************************************************
Sold:   price = 344.10 ||  money = 181.22
Buy:    price = 343.47 ||  money = 181.22
*******************************************************
Sold:   price = 344.35 ||  money = 181.46
Buy:    price = 337.93 ||  money = 181.46
*******************************************************
Sold:   price = 338.44 ||  money = 181.59
Buy:    price = 338.11 ||  money = 181.59
*******************************************************
Sold:   price = 342.01 ||  money = 182.64
Buy:    price = 341.23 ||  money = 182.64
*******************************************************
Sold:   price = 342.55 ||  money = 182.99
Buy:    price = 342.43 ||  money = 182.99
*******************************************************
Sold:   price = 342.63 ||  money = 183.05
